tag,maxh,linear_nodes,tets,est_c3d10_nodes,est_elem_pct_of_ceiling,est_eq,est_eq_pct_of_ceiling,gen_time_s
attempt129_star,1.8,28964,94289,193154,41.0,579462,49.11,5.23
attempt12_hull,3.0,9482,27762,56871,12.07,170613,14.46,1.61
attempt12_hull,2.0,23533,77006,157749,33.48,473247,40.11,4.3
attempt12_hull,1.8,28831,93930,192418,40.84,577254,48.92,5.23
attempt12_star,3.0,9691,28207,57783,12.26,173349,14.69,1.58
attempt12_star,2.0,23853,77736,159244,33.8,477732,40.49,4.41
attempt12_star,1.8,29222,94885,194375,41.25,583125,49.42,5.5
attempt130_hull,3.0,9521,27771,56890,12.07,170670,14.46,4.41
attempt130_hull,2.0,23719,77317,158386,33.62,475158,40.27,4.3
attempt130_hull,1.8,29054,94406,193393,41.05,580179,49.17,5.24
attempt131_hull,3.0,9713,28407,58193,12.35,174579,14.79,1.56
attempt131_hull,2.0,23867,77868,159515,33.86,478545,40.55,4.34
attempt131_hull,1.8,29153,94827,194256,41.23,582768,49.39,5.55
attempt131_star,3.0,9636,28052,57465,12.2,172395,14.61,1.58
attempt131_star,2.0,23549,76755,157235,33.37,471705,39.98,4.37
attempt131_star,1.8,28873,93590,191722,40.69,575166,48.74,8.2
attempt132_hull,3.0,9562,27932,57220,12.14,171660,14.55,1.53
attempt132_hull,2.0,23611,77034,157806,33.49,473418,40.12,4.31
attempt132_hull,1.8,28831,93751,192052,40.76,576156,48.83,5.46
attempt132_star,3.0,9764,28456,58293,12.37,174879,14.82,1.57
attempt132_star,2.0,23821,77654,159076,33.76,477228,40.44,4.42
attempt132_star,1.8,29800,101589,208108,44.17,624324,52.91,6.4
attempt133_hull,3.0,9486,27749,56845,12.06,170535,14.45,1.52
attempt133_hull,2.0,23583,77178,158101,33.56,474303,40.2,4.56
attempt133_hull,1.8,28919,94110,192787,40.92,578361,49.01,8.01
attempt133_star,3.0,9707,28240,57850,12.28,173550,14.71,1.59
attempt133_star,2.0,23806,77529,158820,33.71,476460,40.38,4.42
attempt133_star,1.8,29119,94457,193498,41.07,580494,49.19,5.32
attempt134_hull,3.0,9574,28078,57519,12.21,172557,14.62,1.56
attempt134_hull,2.0,23419,76617,156952,33.31,470856,39.9,4.22
attempt134_hull,1.8,28629,93378,191288,40.6,573864,48.63,5.19
attempt135_hull,3.0,9622,28135,57635,12.23,172905,14.65,1.57
attempt135_hull,2.0,23784,77761,159296,33.81,477888,40.5,7.23
attempt135_hull,1.8,29138,94793,194186,41.21,582558,49.37,5.28
attempt136_hull,3.0,9691,28359,58094,12.33,174282,14.77,1.56
attempt136_hull,2.0,23594,77094,157929,33.52,473787,40.15,4.33
attempt136_hull,1.8,29015,94465,193514,41.07,580542,49.2,5.29
attempt137_hull,3.0,9612,28107,57578,12.22,172734,14.64,1.54
attempt137_hull,2.0,23563,77045,157829,33.5,473487,40.13,4.31
attempt137_hull,1.8,28957,94235,193043,40.97,579129,49.08,5.22
attempt138_hull,3.0,9669,28267,57906,12.29,173718,14.72,1.58
attempt138_hull,2.0,23780,77677,159124,33.77,477372,40.46,7.19
attempt138_hull,1.8,29071,94576,193742,41.12,581226,49.26,5.17
attempt138_star,3.0,9810,28622,58633,12.44,175899,14.91,1.62
attempt138_star,2.0,23987,78126,160043,33.97,480129,40.69,4.42
attempt138_star,1.8,29333,95274,195172,41.42,585516,49.62,5.34
attempt139_hull,3.0,9634,28206,57781,12.26,173343,14.69,1.54
attempt139_hull,2.0,23606,77110,157962,33.53,473886,40.16,4.25
attempt139_hull,1.8,28915,94112,192791,40.92,578373,49.01,5.22
attempt139_star,3.0,9636,28170,57707,12.25,173121,14.67,1.59
attempt139_star,2.0,23730,77604,158974,33.74,476922,40.42,7.22
attempt139_star,1.8,29022,94479,193543,41.08,580629,49.21,5.56
attempt13_hull,3.0,9513,27873,57099,12.12,171297,14.52,1.56
attempt13_hull,2.0,23515,77021,157780,33.49,473340,40.11,4.29
attempt13_hull,1.8,28708,93608,191759,40.7,575277,48.75,5.19
attempt140_hull,3.0,9622,28139,57644,12.23,172932,14.66,1.59
attempt140_hull,2.0,23516,76977,157690,33.47,473070,40.09,4.28
attempt140_hull,1.8,28966,94246,193066,40.98,579198,49.08,5.24
attempt140_star,3.0,9743,28399,58176,12.35,174528,14.79,4.55
attempt140_star,2.0,23565,76816,157360,33.4,472080,40.01,4.4
attempt140_star,1.8,28854,93856,192267,40.81,576801,48.88,5.59
attempt142_hull,3.0,9494,27839,57029,12.1,171087,14.5,1.64
attempt142_hull,2.0,23813,77833,159443,33.84,478329,40.54,4.31
attempt142_hull,1.8,29064,94608,193807,41.13,581421,49.27,5.35
attempt142_star,3.0,9748,28484,58350,12.38,175050,14.83,1.62
attempt142_star,2.0,23718,77507,158775,33.7,476325,40.37,4.42
attempt142_star,1.8,28915,94136,192840,40.93,578520,49.03,8.51
attempt144_star,3.0,9779,28472,58326,12.38,174978,14.83,1.64
attempt144_star,2.0,23630,76952,157638,33.46,472914,40.08,4.46
attempt144_star,1.8,28870,93800,192152,40.78,576456,48.85,5.31
attempt145_hull,3.0,9580,27955,57267,12.15,171801,14.56,1.55
attempt145_hull,2.0,23820,77733,159238,33.8,477714,40.48,4.41
attempt145_hull,1.8,29032,94191,192953,40.95,578859,49.06,5.19
attempt146_hull,3.0,9605,28137,57639,12.23,172917,14.65,1.57
attempt146_hull,2.0,23725,77672,159113,33.77,477339,40.45,4.36
attempt146_hull,1.8,28872,93975,192511,40.86,577533,48.94,8.12
attempt146_star,3.0,9603,28101,57566,12.22,172698,14.64,1.59
attempt146_star,2.0,23764,77704,159179,33.78,477537,40.47,4.38
attempt146_star,1.8,28874,94020,192603,40.88,577809,48.97,5.3
attempt148_hull,3.0,9677,28357,58090,12.33,174270,14.77,1.58
attempt148_hull,2.0,23597,77168,158081,33.55,474243,40.19,4.27
attempt148_hull,1.8,29041,94446,193475,41.06,580425,49.19,5.2
attempt148_star,3.0,9615,28046,57453,12.19,172359,14.61,1.6
attempt148_star,2.0,23739,77459,158677,33.68,476031,40.34,7.29
attempt148_star,1.8,28862,93861,192277,40.81,576831,48.88,5.41
attempt149_hull,3.0,9493,27740,56826,12.06,170478,14.45,1.58
attempt149_hull,2.0,23738,77596,158958,33.74,476874,40.41,4.33
attempt149_hull,1.8,28919,94111,192789,40.92,578367,49.01,5.23
attempt14_hull,3.0,9647,28236,57842,12.28,173526,14.71,1.58
attempt14_hull,2.0,23767,77723,159218,33.79,477654,40.48,4.28
attempt14_hull,1.8,29161,94965,194539,41.29,583617,49.46,5.21
attempt150_hull,3.0,9699,28396,58170,12.35,174510,14.79,1.61
attempt150_hull,2.0,23531,76972,157679,33.47,473037,40.09,7.18
attempt150_hull,1.8,29175,94987,194584,41.3,583752,49.47,5.32
attempt15_hull,3.0,9630,28247,57865,12.28,173595,14.71,1.61
attempt15_hull,2.0,23448,76829,157386,33.4,472158,40.01,4.3
attempt15_hull,1.8,28675,93388,191308,40.6,573924,48.64,5.2
attempt15_star,3.0,9651,28074,57510,12.21,172530,14.62,1.65
attempt15_star,2.0,23742,77379,158513,33.64,475539,40.3,4.43
attempt15_star,1.8,29145,94565,193719,41.12,581157,49.25,5.42
attempt16_hull,3.0,9600,28121,57607,12.23,172821,14.65,1.58
attempt16_hull,2.0,23433,76650,157020,33.33,471060,39.92,7.25
attempt16_hull,1.8,28752,93583,191707,40.69,575121,48.74,5.21
attempt19_hull,3.0,9606,28102,57568,12.22,172704,14.64,1.59
attempt19_hull,2.0,23767,77605,158976,33.74,476928,40.42,4.26
attempt19_hull,1.8,28861,93832,192218,40.8,576654,48.87,5.15
attempt19_star,3.0,9789,28581,58549,12.43,175647,14.89,1.6
attempt19_star,2.0,23765,77554,158872,33.72,476616,40.39,4.27
attempt19_star,1.8,29161,94774,194147,41.21,582441,49.36,5.33
attempt1_hull,3.0,9802,28472,58326,12.38,174978,14.83,4.62
attempt1_hull,2.0,24029,78071,159931,33.94,479793,40.66,4.36
attempt1_hull,1.8,29371,95034,194680,41.32,584040,49.49,5.33
attempt1_star,3.0,9789,28393,58164,12.34,174492,14.79,1.61
attempt1_star,2.0,24017,78011,159808,33.92,479424,40.63,4.35
attempt1_star,1.8,29418,95173,194965,41.38,584895,49.57,5.3
attempt20_star,3.0,9874,28630,58649,12.45,175947,14.91,1.61
attempt20_star,2.0,24056,78218,160232,34.01,480696,40.74,4.45
attempt20_star,1.8,29405,95280,195184,41.43,585552,49.62,8.34
attempt21_hull,3.0,9532,27889,57131,12.13,171393,14.52,1.55
attempt21_hull,2.0,23513,76830,157388,33.4,472164,40.01,4.26
attempt21_hull,1.8,28900,94185,192941,40.95,578823,49.05,5.22
attempt22_hull,3.0,9712,28431,58242,12.36,174726,14.81,1.57
attempt22_hull,2.0,23653,77321,158394,33.62,475182,40.27,4.32
attempt22_hull,1.8,28931,94204,192980,40.96,578940,49.06,5.21
attempt22_star,3.0,9720,28263,57898,12.29,173694,14.72,1.59
attempt22_star,2.0,23713,77314,158380,33.61,475140,40.27,4.38
attempt22_star,1.8,29003,94171,192912,40.94,578736,49.05,8.33
attempt23_hull,3.0,9561,27962,57281,12.16,171843,14.56,1.56
attempt23_hull,2.0,23549,77017,157772,33.49,473316,40.11,4.37
attempt23_hull,1.8,28888,94022,192607,40.88,577821,48.97,5.28
attempt23_star,3.0,9732,28306,57986,12.31,173958,14.74,1.6
attempt23_star,2.0,23823,77642,159052,33.76,477156,40.44,4.46
attempt23_star,1.8,29113,94536,193660,41.1,580980,49.24,5.31
attempt24_hull,3.0,9618,28169,57705,12.25,173115,14.67,1.59
attempt24_hull,2.0,23567,77064,157868,33.51,473604,40.14,4.31
attempt24_hull,1.8,28982,94261,193096,40.98,579288,49.09,8.36
attempt25_hull,3.0,9642,28091,57545,12.21,172635,14.63,1.54
attempt25_hull,2.0,23803,77529,158820,33.71,476460,40.38,4.33
attempt25_hull,1.8,29125,94429,193441,41.06,580323,49.18,5.29
attempt25_star,3.0,9871,28677,58746,12.47,176238,14.94,1.59
attempt25_star,2.0,23878,77573,158911,33.73,476733,40.4,4.29
attempt25_star,1.8,29414,95185,194989,41.38,584967,49.57,5.3
attempt26_hull,3.0,9535,27924,57203,12.14,171609,14.54,1.53
attempt26_hull,2.0,23574,77114,157970,33.53,473910,40.16,7.28
attempt26_hull,1.8,28742,93649,191843,40.72,575529,48.77,5.17
attempt26_star,3.0,9687,28266,57904,12.29,173712,14.72,1.58
attempt26_star,2.0,23844,77777,159328,33.82,477984,40.51,4.4
attempt26_star,1.8,29152,94761,194121,41.2,582363,49.35,5.29
attempt27_hull,3.0,9567,27965,57287,12.16,171861,14.56,1.51
attempt27_hull,2.0,23689,77414,158585,33.66,475755,40.32,4.24
attempt27_hull,1.8,29024,94508,193602,41.09,580806,49.22,5.32
attempt27_star,3.0,9641,28071,57504,12.2,172512,14.62,1.57
attempt27_star,2.0,23912,77830,159437,33.84,478311,40.53,7.47
attempt27_star,1.8,29260,95045,194702,41.32,584106,49.5,5.3
attempt28_hull,3.0,9657,28265,57902,12.29,173706,14.72,1.55
attempt28_hull,2.0,23713,77467,158693,33.68,476079,40.35,4.2
attempt28_hull,1.8,29204,94941,194489,41.28,583467,49.45,5.17
attempt28_star,3.0,9768,28469,58320,12.38,174960,14.83,1.59
attempt28_star,2.0,23985,78208,160211,34.0,480633,40.73,4.41
attempt28_star,1.8,29229,94926,194459,41.27,583377,49.44,5.41
attempt29_hull,3.0,9533,27892,57138,12.13,171414,14.53,4.7
attempt29_hull,2.0,23650,77356,158466,33.63,475398,40.29,4.4
attempt29_hull,1.8,28733,93635,191814,40.71,575442,48.77,5.33
attempt29_star,3.0,9682,28235,57840,12.28,173520,14.71,1.62
attempt29_star,2.0,23777,77571,158906,33.73,476718,40.4,4.34
attempt29_star,1.8,29061,94491,193568,41.08,580704,49.21,5.38
attempt2_hull,3.0,9811,28704,58801,12.48,176403,14.95,1.62
attempt2_hull,2.0,23803,77724,159220,33.79,477660,40.48,4.27
attempt2_hull,1.8,29179,94824,194250,41.23,582750,49.39,8.0
attempt2_star,3.0,9830,28646,58682,12.45,176046,14.92,1.61
attempt2_star,2.0,23994,78169,160131,33.99,480393,40.71,4.48
attempt2_star,1.8,29357,95099,194813,41.35,584439,49.53,5.36
attempt30_hull,3.0,9598,28114,57592,12.22,172776,14.64,1.54
attempt30_hull,2.0,23569,77090,157921,33.52,473763,40.15,4.21
attempt30_hull,1.8,28921,94138,192844,40.93,578532,49.03,5.09
attempt31_star,3.0,9634,27840,57031,12.1,171093,14.5,1.58
attempt31_star,2.0,23755,77208,158163,33.57,474489,40.21,4.43
attempt31_star,1.8,29157,94330,193238,41.01,579714,49.13,8.79
attempt32_hull,3.0,9514,27844,57039,12.11,171117,14.5,1.64
