tag,maxh,status,n_solids,n_faces,linear_nodes,tets,gen_time_s
attempt135_hull,2.0,ok,1,42,23784,77761,7.23
attempt135_hull,1.8,ok,1,42,29138,94793,5.28
attempt136_hull,3.0,ok,1,42,9691,28359,1.56
attempt136_hull,2.0,ok,1,42,23594,77094,4.33
attempt136_hull,1.8,ok,1,42,29015,94465,5.29
attempt137_hull,3.0,ok,1,38,9612,28107,1.54
attempt137_hull,2.0,ok,1,38,23563,77045,4.31
attempt137_hull,1.8,ok,1,38,28957,94235,5.22
attempt138_hull,3.0,ok,1,34,9669,28267,1.58
attempt138_hull,2.0,ok,1,34,23780,77677,7.19
attempt138_hull,1.8,ok,1,34,29071,94576,5.17
attempt138_star,3.0,ok,1,42,9810,28622,1.62
attempt138_star,2.0,ok,1,42,23987,78126,4.42
attempt138_star,1.8,ok,1,42,29333,95274,5.34
attempt139_hull,3.0,ok,1,42,9634,28206,1.54
attempt139_hull,2.0,ok,1,42,23606,77110,4.25
attempt139_hull,1.8,ok,1,42,28915,94112,5.22
attempt139_star,3.0,ok,1,46,9636,28170,1.59
attempt139_star,2.0,ok,1,46,23730,77604,7.22
attempt139_star,1.8,ok,1,46,29022,94479,5.56
attempt13_hull,3.0,ok,1,38,9513,27873,1.56
attempt13_hull,2.0,ok,1,38,23515,77021,4.29
attempt13_hull,1.8,ok,1,38,28708,93608,5.19
attempt140_hull,3.0,ok,1,38,9622,28139,1.59
attempt140_hull,2.0,ok,1,38,23516,76977,4.28
attempt140_hull,1.8,ok,1,38,28966,94246,5.24
attempt140_star,3.0,ok,1,50,9743,28399,4.55
attempt140_star,2.0,ok,1,50,23565,76816,4.4
attempt140_star,1.8,ok,1,50,28854,93856,5.59
attempt142_hull,3.0,ok,1,38,9494,27839,1.64
attempt142_hull,2.0,ok,1,38,23813,77833,4.31
attempt142_hull,1.8,ok,1,38,29064,94608,5.35
attempt142_star,3.0,ok,1,58,9748,28484,1.62
attempt142_star,2.0,ok,1,58,23718,77507,4.42
attempt142_star,1.8,ok,1,58,28915,94136,8.51
attempt144_star,3.0,ok,1,66,9779,28472,1.64
attempt144_star,2.0,ok,1,66,23630,76952,4.46
attempt144_star,1.8,ok,1,66,28870,93800,5.31
attempt145_hull,3.0,ok,1,30,9580,27955,1.55
attempt145_hull,2.0,ok,1,30,23820,77733,4.41
attempt145_hull,1.8,ok,1,30,29032,94191,5.19
attempt146_hull,3.0,ok,1,38,9605,28137,1.57
attempt146_hull,2.0,ok,1,38,23725,77672,4.36
attempt146_hull,1.8,ok,1,38,28872,93975,8.12
attempt146_star,3.0,ok,1,42,9603,28101,1.59
attempt146_star,2.0,ok,1,42,23764,77704,4.38
attempt146_star,1.8,ok,1,42,28874,94020,5.3
attempt148_hull,3.0,ok,1,38,9677,28357,1.58
attempt148_hull,2.0,ok,1,38,23597,77168,4.27
attempt148_hull,1.8,ok,1,38,29041,94446,5.2
attempt148_star,3.0,ok,1,50,9615,28046,1.6
attempt148_star,2.0,ok,1,50,23739,77459,7.29
attempt148_star,1.8,ok,1,50,28862,93861,5.41
attempt149_hull,3.0,ok,1,38,9493,27740,1.58
attempt149_hull,2.0,ok,1,38,23738,77596,4.33
attempt149_hull,1.8,ok,1,38,28919,94111,5.23
attempt14_hull,3.0,ok,1,38,9647,28236,1.58
attempt14_hull,2.0,ok,1,38,23767,77723,4.28
attempt14_hull,1.8,ok,1,38,29161,94965,5.21
attempt150_hull,3.0,ok,1,38,9699,28396,1.61
attempt150_hull,2.0,ok,1,38,23531,76972,7.18
attempt150_hull,1.8,ok,1,38,29175,94987,5.32
attempt15_hull,3.0,ok,1,42,9630,28247,1.61
attempt15_hull,2.0,ok,1,42,23448,76829,4.3
attempt15_hull,1.8,ok,1,42,28675,93388,5.2
attempt15_star,3.0,ok,1,62,9651,28074,1.65
attempt15_star,2.0,ok,1,62,23742,77379,4.43
attempt15_star,1.8,ok,1,62,29145,94565,5.42
attempt16_hull,3.0,ok,1,46,9600,28121,1.58
attempt16_hull,2.0,ok,1,46,23433,76650,7.25
attempt16_hull,1.8,ok,1,46,28752,93583,5.21
attempt19_hull,3.0,ok,1,38,9606,28102,1.59
attempt19_hull,2.0,ok,1,38,23767,77605,4.26
attempt19_hull,1.8,ok,1,38,28861,93832,5.15
attempt19_star,3.0,ok,1,46,9789,28581,1.6
attempt19_star,2.0,ok,1,46,23765,77554,4.27
attempt19_star,1.8,ok,1,46,29161,94774,5.33
attempt1_hull,3.0,ok,1,30,9802,28472,4.62
attempt1_hull,2.0,ok,1,30,24029,78071,4.36
attempt1_hull,1.8,ok,1,30,29371,95034,5.33
attempt1_star,3.0,ok,1,38,9789,28393,1.61
attempt1_star,2.0,ok,1,38,24017,78011,4.35
attempt1_star,1.8,ok,1,38,29418,95173,5.3
attempt20_star,3.0,ok,1,50,9874,28630,1.61
attempt20_star,2.0,ok,1,50,24056,78218,4.45
attempt20_star,1.8,ok,1,50,29405,95280,8.34
attempt21_hull,3.0,ok,1,38,9532,27889,1.55
attempt21_hull,2.0,ok,1,38,23513,76830,4.26
attempt21_hull,1.8,ok,1,38,28900,94185,5.22
attempt22_hull,3.0,ok,1,46,9712,28431,1.57
attempt22_hull,2.0,ok,1,46,23653,77321,4.32
attempt22_hull,1.8,ok,1,46,28931,94204,5.21
attempt22_star,3.0,ok,1,58,9720,28263,1.59
attempt22_star,2.0,ok,1,58,23713,77314,4.38
attempt22_star,1.8,ok,1,58,29003,94171,8.33
attempt23_hull,3.0,ok,1,42,9561,27962,1.56
attempt23_hull,2.0,ok,1,42,23549,77017,4.37
attempt23_hull,1.8,ok,1,42,28888,94022,5.28
attempt23_star,3.0,ok,1,62,9732,28306,1.6
attempt23_star,2.0,ok,1,62,23823,77642,4.46
